"species","TotalReads"
"Astyanax mexicanus",2
"Clarias gariepinus",1
"Trichomycterus rosablanca",1
"Electrophorus electricus",1
"Paramisgurnus dabryanus",1
"Triplophysa rosa",1
"Carassius gibelio",1
"Myxocyprinus asiaticus",1
"Denticeps clupeoides",1
"Conger conger",1
"Amia calva",2
"Lepisosteus oculatus",1
"Leucoraja erinaceus",1
"Lampetra fluviatilis",3
"Branchiostoma belcheri",1
"Styela clava",1
"Acanthaster planci",1
"Zeugodacus cucurbitae",1
"Bactrocera oleae",1
"Rhagoletis zephyria",1
"Eurosta solidaginis",1
"Drosophila takahashii",1
"Drosophila serrata",1
"Drosophila busckii",1
"Scaptodrosophila lebanonensis",1
"Lucilia cuprina",1
"Toxorhynchites rutilus",2
"Malaya genurostris",1
"Anopheles bellator",1
"Bombus flavifrons",1
"Apis dorsata",1
"Osmia lignaria",1
"Monomorium pharaonis",2
"Trichogramma pretiosum",1
"Leptopilina heterotoma",1
"Diprion similis",1
"Chilo suppressalis",2
"Achroia grisella",1
"Leptidea sinapis",2
"Trichoplusia ni",1
"Plutella xylostella",1
"Pectinophora gossypiella",1
"Tenebrio molitor",1
"Tribolium castaneum",1
"Harmonia axyridis",1
"Dendroctonus ponderosae",1
"Photinus pyralis",1
"Brachysternus prasinus",1
"Timema poppense",7
"Timema genevievae",2
"Timema cristinae",3
"Timema californicum",5
"Timema monikensis",1
"Timema tahoe",3
"Timema douglasi",2
"Timema shepardi",2
"Acyrthosiphon pisum",2
"Melanaphis sacchari",1
"Daktulosphaira vitifoliae",1
"Bemisia tabaci",1
"Macrosteles quadrilineatus",1
"Epophthalmia elegans",2
"Artemia franciscana",1
"Macrobrachium nipponense",1
"Darwinula stevensoni",1
"Oppiella nova",2
"Platynothrus peltifer",1
"Argiope bruennichi",1
"Strongyloides ratti",2
"Aplysia californica",3
"Physella acuta",2
"Littorina saxatilis",2
"Saccostrea cuccullata",2
"Pecten maximus",1
"Dreissena polymorpha",1
"Mercenaria mercenaria",1
"Dicrocoelium dendriticum",4
"Echinococcus granulosus",1
"Spirometra erinaceieuropaei",1
"Lineus longissimus",1
"Dendronephthya gigantea",1
"Corticium candelabrum",1
"Malus domestica",4
"Rosa agrestis",1
"Ziziphus jujuba",1
"Cannabis sativa",1
"Medicago truncatula",2
"Cicer arietinum",2
"Lotus japonicus",1
"Glycine soja",1
"Prosopis cineraria",1
"Populus trichocarpa",1
"Malpighia emarginata",1
"Cucumis melo",1
"Cucurbita moschata",1
"Quercus suber",2
"Brassica napus",1
"Camelina sativa",1
"Mangifera indica",1
"Solanum melongena",5
"Lycium barbarum",2
"Capsicum annuum",1
"Nicotiana attenuata",1
"Ipomoea nil",1
"Andrographis paniculata",1
"Hydrostachys angustisecta",2
"Cornus florida",1
"Helianthus annuus",1
"Cynara cardunculus",1
"Camellia sinensis",1
"Amaranthus tricolor",1
"Zea mays",4
"Miscanthus floridulus",1
"Panicum virgatum",1
"Eragrostis tef",2
"Triticum aestivum",1
"Musa acuminata",2
"Musa textilis",1
"Spirodela intermedia",1
"Macadamia integrifolia",2
"Nymphaea colorata",1
"Araucaria cunninghamii",1
"Cryptomeria japonica",1
"Picea sitchensis",1
"Selaginella moellendorffii",1
"Plasmodium fragile",1
"Plasmodium cynomolgi",1
"Toxoplasma gondii",1
"Paramecium tetraurelia",1
"Thalassiosira pseudonana",2
"Histiona aroides",1
"Trypanosoma vivax",1
"Cavenderia fasciculata",1
"Thecamonas trahens",1
"Haloquadratum walsbyi",2
"Natronobacterium gregoryi",1
"Methanothrix thermoacetophila",1
"Methanospirillum stamsii",1
"Methanosarcina barkeri",1
"Thermoplasmatales archaeon",1
"uncultured Candidatus Nitrosopumilus sp.",1
"uncultured marine thaumarchaeote KM3_04_H11",1
"Vulcanisaeta distributa",1
"Severe acute respiratory syndrome-related coronavirus",112
"Qianjiang dicistro-like virus 52",2
"Iflaviridae sp.",1
"White clover cryptic virus 2",1
"Macdonaldcampvirus SB28",47
"Caudoviricetes sp.",7
"Siphoviridae sp. ctFIm6",2
"Pseudomonas phage vB_PeaS_FBPa47",2
"Enterococcus phage vB_Efs26_KEN12",1
"Bacteriophage sp.",5
"Listeria phage vB_Lmo_3274",1
"Listeria phage vB_Lmo_C2",5
"Microviridae sp.",1
"Turkeypox virus",1
"synthetic construct",46
"Saccharomyces cerevisiae synthetic construct",7
"translation factor module pTFM1",5
"uncultured organism",10
"Bacillus spizizenii",36402
"Bacillus velezensis",240
"Bacillus amyloliquefaciens",7
"Bacillus subtilis",6893
"Bacillus vallismortis",150
"Bacillus inaquosorum",166
"Bacillus halotolerans",80
"Bacillus mojavensis",21
"Bacillus stercoris",108
"Bacillus atrophaeus",30
"Bacillus tequilensis",40
"Bacillus paralicheniformis",5
"Bacillus licheniformis",34
"Bacillus anthracis",271
"Bacillus thuringiensis",20
"Bacillus cytotoxicus",1
"Bacillus toyonensis",2
"Bacillus mycoides",1
"Bacillus cereus",5
"Bacillus sp. wens01",18
"Bacillus sp. JS",11
"Bacillus sp. MD-5",9
"Bacillus sp. MBGLi79",11
"Bacillus sp. FSL K6-0993",15
"Bacillus sp. FSL M8-0071",28
"Bacillus sp. UEB-S",76
"Bacillus sp. (in: firmicutes)",20
"Bacillus sp. PS196",13
"Bacillus sp. JNUCC-21",11
"Bacillus sp. FSL K6-1012",6
"Bacillus sp. PS108",11
"Bacillus sp. YBsi01",2
"Bacillus sp. FSL R5-0560",2
"Bacillus sp. LJBS06",5
"Bacillus sp. Cs-700",1
"Bacillus sp. FSL R5-0416",11
"Bacillus sp. FSL R5-0523",3
"Bacillus rugosus",64
"Bacillus cabrialesii",31
"Bacillus pumilus",6
"Bacillus methanolicus",1
"Bacillus safensis",3
"Bacillus glycinifermentans",1
"Bacillus swezeyi",1
"Bacillus fonticola",1
"Bacillus maqinnsis",1
"Neobacillus sp. PS3-12",2
"Neobacillus drentensis",1
"Cytobacillus firmus",2
"Cytobacillus gottheilii",1
"Priestia filamentosa",1
"Priestia aryabhattai",1
"Peribacillus asahii",2
"Radiobacillus kanasensis",1
"Radiobacillus deserti",1
"Psychrobacillus sp. L4",2
"Virgibacillus pantothenticus",1
"Halalkalibacterium halodurans",1
"Alkalihalophilus pseudofirmus",1
"Pseudalkalibacillus hwajinpoensis",1
"Ornithinibacillus sp. 4-3",1
"Mesobacillus sp. AQ2",1
"Anaerobacillus isosaccharinicus",1
"Paraliobacillus zengyii",1
"Staphylococcus aureus",21471
"uncultured Staphylococcus sp.",32
"Staphylococcus argenteus",21
"Staphylococcus pseudintermedius",11
"Staphylococcus delphini",1
"Staphylococcus schweitzeri",13
"Staphylococcus epidermidis",7
"Staphylococcus saprophyticus",6
"Staphylococcus simiae",6
"Staphylococcus caprae",4
"Staphylococcus capitis",4
"Staphylococcus saccharolyticus",4
"Staphylococcus haemolyticus",4
"Staphylococcus hominis",3
"Staphylococcus pasteuri",3
"Staphylococcus simulans",3
"Staphylococcus sp. S9",2
"Staphylococcus piscifermentans",2
"Staphylococcus chromogenes",2
"Staphylococcus warneri",2
"Staphylococcus gallinarum",2
"Staphylococcus equorum",5
"Staphylococcus lugdunensis",2
"Staphylococcus devriesei",2
"Staphylococcus muscae",1
"Staphylococcus felis",1
"Staphylococcus shinii",1
"Staphylococcus ratti",1
"Staphylococcus lloydii",1
"Staphylococcus arlettae",1
"Staphylococcus casei",1
"Staphylococcus pseudoxylosus",1
"Staphylococcus agnetis",1
"Staphylococcus hyicus",1
"Staphylococcus massiliensis",1
"Macrococcoides caseolyticum",4
"Mammaliicoccus sp. Marseille-Q6498",1
"Mammaliicoccus stepanovicii",1
"Mammaliicoccus sciuri",1
"Listeria monocytogenes",20436
"Listeria sp.",6
"Listeria sp. LM90SB2",443
"Listeria sp. PSOL-1",1
"Listeria innocua",119
"Listeria swaminathanii",34
"Listeria welshimeri",32
"Listeria seeligeri",18
"Listeria ivanovii",16
"Listeria newyorkensis",3
"Listeria weihenstephanensis",3
"Paenibacillus sp. FSL W8-0194",13
"Paenibacillus sp. FSL H8-0537",1
"Paenibacillus sp. WG02",1
"Paenibacillus sp. P36",1
"Paenibacillus amylolyticus",1
"Sporosarcina ureilytica",1
"Sporosarcina jeotgali",1
"Ureibacillus chungkukjangi",1
"Solibacillus sp. R5-41",1
"Paenisporosarcina sp. FSL H8-0542",1
"Geobacillus stearothermophilus",4
"Alicyclobacillus sp. SO9",1
"Enterococcus faecalis",31192
"Enterococcus sp. 9D6_DIV0238",9
"Enterococcus sp. 9E7_DIV0242",3
"Enterococcus sp. DIV0212c",2
"Enterococcus sp. 7F3_DIV0205",2
"Enterococcus sp. DIV2402",2
"Enterococcus sp. FZMF",4
"uncultured Enterococcus sp.",6
"Enterococcus faecium",10
"Enterococcus raffinosus",5
"Enterococcus dispar",4
"Enterococcus saccharolyticus",3
"Enterococcus cecorum",2
"Enterococcus mundtii",2
"Enterococcus devriesei",2
"Enterococcus silesiacus",2
"Enterococcus avium",1
"Enterococcus durans",1
"Enterococcus wangshanyuanii",1
"Enterococcus gilvus",1
"Enterococcus hirae",1
"Enterococcus thailandicus",1
"Enterococcus montenegrensis",1
"Vagococcus fluvialis",1
"Vagococcus coleopterorum",1
"Vagococcus intermedius",1
"Tetragenococcus halophilus",1
"Limosilactobacillus fermentum",14913
"Weissella paramesenteroides",2
"Weissella cibaria",2
"Pediococcus acidilactici",2
"Pediococcus damnosus",2
"Lactiplantibacillus plantarum",3
"Levilactobacillus koreensis",1
"Levilactobacillus brevis",1
"Companilactobacillus paralimentarius",1
"Companilactobacillus farciminis",1
"Fructilactobacillus sanfranciscensis",1
"Lactobacillus helveticus",1
"Lacticaseibacillus manihotivorans",1
"Streptococcus dysgalactiae",3
"Streptococcus pyogenes",1
"Streptococcus suis",1
"Jeotgalibaca sp. PTS2502",1
"uncultured Trichococcus sp.",1
"Carnobacterium inhibens",1
"Alkalibacterium putridalgicola",1
"Lacrimispora xylanisolvens",4
"Roseburia sp. 499",1
"uncultured Faecalibacterium sp.",1
"Ruminococcus bovis",1
"Clostridium sp. BJN0013",1
"Streptomyces sp. Q6",2
"Streptomyces sp. cg36",1
"Streptomyces sp. GQFP",1
"Streptomyces sp. NBC_01515",2
"Streptomyces sp. NBC_00442",1
"Streptomyces sp. A2-16",1
"Streptomyces aurantiacus",1
"Streptomyces griseoviridis",1
"Streptomyces formicae",1
"Streptomyces tubercidicus",1
"Kitasatospora setae",1
"Bifidobacterium pseudolongum",1
"Bifidobacterium longum",1
"Gardnerella vaginalis",1
"Scardovia inopinata",1
"Rhodococcus qingshengii",1
"Rhodococcus opacus",1
"Nocardia terpenica",1
"Candidatus Mycobacterium methanotrophicum",1
"Actinoplanes sp. OR16",1
"Actinoplanes derwentensis",1
"Micromonospora chalcea",1
"Krasilnikovia sp. MM14-A1004",1
"Clavibacter phaseoli",1
"Microbacterium sp. RG1",1
"Agrococcus sp. SGAir0287",1
"Ornithinimicrobium cryptoxanthini",1
"Arcanobacterium phocae",1
"Varibaculum cambriense",1
"Nocardioides sp. JS614",1
"Nocardioides ochotonae",1
"Actinomadura sp. WMMA1423",1
"Umezawaea sp. Da 62-37",1
"uncultured Solirubrobacterales bacterium",1
"Leptolyngbya sp. BL0902",1
"Leptolyngbya sp. NIES-3755",1
"Brasilonema sennae",1
"Aphanizomenon flos-aquae",1
"Annamia dubia",1
"[Phormidium] sp. ETS-05",1
"Candidatus Paraprochloron terpiosi",1
"Spiroplasma endosymbiont of Heliconius wallacei",1
"Vulcanimicrobiota bacterium",1
"Dehalococcoidia bacterium",1
"Salmonella enterica",51090
"Salmonella sp. WGH-01",36
"Salmonella sp. SSDFZ54",55
"Salmonella bongori",252
"Escherichia coli",33124
"Escherichia sp. E4742",15
"Escherichia sp. HH091_1A",32
"Escherichia sp. KS167_9B",26
"Escherichia sp. 10290",92
"Escherichia albertii",56
"Escherichia fergusonii",33
"Escherichia marmotae",22
"Shigella flexneri",748
"Shigella dysenteriae",160
"Shigella boydii",263
"Shigella sonnei",643
"Klebsiella pneumoniae",149
"Klebsiella variicola",10
"Klebsiella quasipneumoniae",4
"Klebsiella sp. BDA134-6",6
"Klebsiella aerogenes",5
"Klebsiella michiganensis",4
"Klebsiella huaxiensis",3
"Klebsiella oxytoca",1
"Raoultella planticola",3
"Raoultella ornithinolytica",4
"Raoultella sp. HC6",1
"Raoultella terrigena",1
"Citrobacter freundii",26
"Citrobacter portucalensis",10
"Citrobacter werkmanii",8
"Citrobacter braakii",15
"Citrobacter sedlakii",1
"Citrobacter sp. RHB25-C09",5
"Citrobacter sp. BDA59-3",1
"Citrobacter sp. RHBSTW-00570",9
"Citrobacter sp. R56",1
"Citrobacter farmeri",4
"Citrobacter telavivensis",3
"Citrobacter rodentium",3
"Citrobacter enshiensis",2
"Citrobacter amalonaticus",3
"Citrobacter meridianamericanus",1
"Citrobacter tructae",1
"Citrobacter arsenatis",1
"Citrobacter koseri",1
"Enterobacter cloacae",12
"Enterobacter cloacae complex sp. ECNIH7",3
"Enterobacter cloacae complex sp.",1
"Enterobacter hormaechei",18
"Enterobacter cancerogenus",4
"Enterobacter kobei",4
"Enterobacter asburiae",3
"Enterobacter sichuanensis",1
"Enterobacter roggenkampii",1
"Enterobacter ludwigii",4
"Enterobacter sp. JUb54",3
"Enterobacter sp. Y1_10",1
"Enterobacter sp. RHBSTW-00975",18
"Enterobacter sp. ECC-175",1
"Enterobacter sp. Colony194",1
"Enterobacter sp. 638",1
"Enterobacter huaxiensis",2
"Enterobacter oligotrophicus",2
"Enterobacter soli",1
"Enterobacter bugandensis",1
"Enterobacter mori",1
"Enterobacter adelaidei",1
"Kosakonia sp. MUSA4",3
"Kosakonia sp. CCTCC M2018092",2
"Kosakonia sp. H02",1
"Kosakonia calanthes",2
"Kosakonia sacchari",1
"Kosakonia oryzendophytica",1
"Kosakonia oryzae",1
"Leclercia adecarboxylata",7
"Leclercia sp. 29361",1
"Leclercia pneumoniae",1
"Kluyvera intermedia",3
"Kluyvera sichuanensis",2
"Kluyvera cryocrescens",2
"Kluyvera ascorbata",1
"Cedecea neteri",3
"Cedecea sp. FDAARGOS_727",2
"Cedecea lapagei",1
"uncultured Enterobacteriaceae bacterium",6
"Pseudocitrobacter corydidari",2
"Pseudocitrobacter faecalis",1
"Lelliottia sp. JS-SCA-14",1
"Lelliottia nimipressuralis",1
"Lelliottia amnigena",1
"Scandinavium goeteborgense",3
"Phytobacter sp. SCO41",2
"Enterobacteriaceae bacterium strain FGI 57",1
"Enterobacteriaceae bacterium ENNIH1",1
"Trabulsiella odontotermitis",2
"Superficieibacter sp. HKU1",2
"Franconibacter daqui",2
"Shimwellia blattae",2
"Buttiauxella agrestis",2
"Pseudescherichia vulneris",1
"Candidatus Hamiltonella defensa",1
"Yokenella regensburgei",1
"Mangrovibacter phragmitis",1
"Siccibacter colletis",1
"Jejubacter calystegiae",1
"Providencia sp. PROV277",1498
"Providencia huaxiensis",1
"Xenorhabdus sp. TH1",1
"Xenorhabdus doucetiae",1
"Xenorhabdus poinarii",1
"Proteus mirabilis",1
"Photorhabdus temperata",1
"Pantoea sp. RSPAM1",2
"Pantoea sp. JZ2",1
"Pantoea sp. SO10",1
"Pantoea sp. C3",1
"Pantoea agglomerans",5
"Pantoea alfalfae",1
"Pantoea rwandensis",1
"Pantoea ananatis",1
"Candidatus Pantoea soli",1
"Erwinia sp. HDF1-3R",1
"Erwinia amylovora",1
"Erwinia pyrifoliae",1
"Erwinia aphidicola",1
"Paramixta manurensis",2
"Buchnera aphidicola",2
"Duffyella gerundensis",1
"Mixta intestinalis",1
"Tatumella citrea",1
"Serratia symbiotica",3
"Serratia marcescens",6
"Serratia liquefaciens",1
"Serratia grimesii",1
"Rahnella inusitata",3
"Rahnella bonaserana",1
"Yersinia frederiksenii",1
"Rouxiella badensis",1
"Pectobacterium aquaticum",3
"Pectobacterium parmentieri",1
"Pectobacterium brasiliense",2
"Pectobacterium cacticida",1
"Dickeya lacustris",1
"Dickeya fangzhongdai",1
"Brenneria rubrifaciens",1
"Edwardsiella piscicida",2
"Edwardsiella hoshinae",1
"Limnobaculum zhutongyuii",1
"Limnobaculum parvum",1
"Leminorella grimontii",1
"Gallaecimonas mangrovi",1
"Pseudomonas aeruginosa",22781
"Pseudomonas nitroreducens",5
"Pseudomonas paraeruginosa",2
"Pseudomonas citronellolis",2
"Pseudomonas sp. SCB32",3
"Pseudomonas sp. gcc21",2
"Pseudomonas sp. LS44",1
"Pseudomonas sp. R2-60-08W",5
"Pseudomonas sp. PDNC002",1
"Pseudomonas sp. SO81",1
"Pseudomonas sp. MTM4",1
"Pseudomonas sp. D3",1
"Pseudomonas sp. N3-W",1
"Pseudomonas sp. NA-150",1
"Pseudomonas sp. CW003PS",2
"Pseudomonas sp. DR 5-09",2
"Pseudomonas sp. AN-B15",2
"Pseudomonas sp. Leaf58",1
"Pseudomonas sp. LPB0260",1
"Pseudomonas sp. FP2309",1
"Pseudomonas sp. FDAARGOS_761",31
"Pseudomonas sp. Ost2",1
"Pseudomonas sp. FP818",7
"Pseudomonas sp. MH9.2",1
"Pseudomonas sp. G2-4",1
"Pseudomonas sp. HOU2",1
"Pseudomonas sp. C9-3",1
"Pseudomonas sp. M30-35",1
"Pseudomonas sp. ATCC 13867",1
"Pseudomonas sp. DC1.2",1
"Pseudomonas sp. Q1-7",1
"Pseudomonas putida",7
"Pseudomonas monteilii",7
"Pseudomonas fulva",3
"Pseudomonas fluorescens",6
"Pseudomonas mucidolens",1
"Pseudomonas tolaasii",1
"Pseudomonas orientalis",1
"Pseudomonas trivialis",1
"Pseudomonas poae",1
"Pseudomonas marginalis",2
"Pseudomonas chlororaphis",6
"Pseudomonas piscis",1
"Pseudomonas syringae",5
"uncultured Pseudomonas sp.",4
"Pseudomonas entomophila",3
"Pseudomonas cavernae",2
"Pseudomonas marincola",2
"Pseudomonas helvetica",1
"Pseudomonas benzenivorans",1
"Pseudomonas anuradhapurensis",1
"Pseudomonas defluvii",2
"Pseudomonas paralcaligenes",1
"Pseudomonas asplenii",2
"Pseudomonas argentinensis",1
"Pseudomonas alkylphenolica",1
"Pseudomonas lalucatii",1
"Pseudomonas oryzae",1
"Pseudomonas pohangensis",1
"Pseudomonas helleri",1
"Pseudomonas siliginis",3
"Pseudomonas saxonica",1
"Pseudomonas alvandae",1
"Pseudomonas triclosanedens",1
"Pseudomonas fakonensis",1
"Stutzerimonas stutzeri",3
"Pseudomonadaceae bacterium T75",1
"Aquipseudomonas campi",1
"Metapseudomonas resinovorans",1
"Azorhizophilus paspali",1
"Marinobacter sp. Arc7-DN-1",1
"Vibrio parahaemolyticus",1
"Vibrio alginolyticus",1
"Vibrio sp. VB16",1
"Vibrio nigripulchritudo",1
"Vibrio navarrensis",1
"Vibrio tritonius",1
"Photobacterium sp. TY1-4",1
"Aeromonas veronii",3
"Aeromonas sp. Ne-1",1
"Aeromonas hydrophila",1
"Aeromonas caviae",1
"Pseudoalteromonas sp. R3",1
"Pseudoalteromonas sp. CF6-2",1
"Shewanella litorisediminis",1
"Shewanella putrefaciens",1
"Salinimonas sediminis",1
"Haemophilus influenzae",1
"Aggregatibacter actinomycetemcomitans",1
"Actinobacillus succinogenes",1
"Methylomicrobium lacus",2
"Methylomarinum roseum",1
"Marichromatium purpuratum",1
"uncultured candidatus Porisulfidus sp.",1
"Candidatus Thiodiazotropha sp. LNASS1",1
"Acinetobacter calcoaceticus",1
"Acinetobacter baumannii",1
"Xanthomonas sacchari",1
"Dyella sp. GSA-30",1
"Halomonas sp. PA16-9",1
"Oleiphilus messinensis",1
"Methylophaga nitratireducenticrescens",1
"Thiothrix subterranea",1
"Legionella adelaidensis",1
"Legionella sainthelensi",1
"Candidatus Ruthturnera calyptogenae",1
"Candidatus Thiodubiliella sp.",1
"Aequoribacter fuscus",1
"Salinisphaera sp. LB1",1
"Mesorhizobium sp. ANAO-SY3R2",1
"Mesorhizobium japonicum",2
"Chelativorans sp. AA-79",1
"Bradyrhizobium sp. 6(2017)",1
"Bradyrhizobium sp. CCBAU 51753",1
"Bradyrhizobium daqingense",1
"Neorhizobium galegae",1
"Ensifer canadensis",1
"Rhodoblastus sp.",1
"Paracoccus denitrificans",1
"Gemmobacter aquarius",1
"Gymnodinialimonas ceratoperidinii",1
"Pontivivens ytuae",1
"Sulfitobacter mediterraneus",1
"Antarctobacter heliothermus",1
"Brevundimonas mediterranea",1
"Brevundimonas bullata",1
"Caulobacter sp. FWC26",1
"Caulobacter vibrioides",1
"Magnetospirillum sp. XM-1",1
"Rhodospirillaceae bacterium",1
"Azospirillum doebereinerae",1
"Stella sp. ATCC 35155",1
"uncultured Sphingopyxis sp.",1
"Sphingorhabdus sp. YGSMI21",1
"Croceicoccus marinus",1
"Pelagerythrobacter marensis",1
"Gluconobacter roseus",1
"Hyphomonas sp. FCG-A18",1
"Ralstonia solanacearum",9
"Caballeronia sp. S22",1
"Caballeronia sp. M1242",1
"Burkholderia cepacia",1
"Pandoraea pulmonicola",1
"Mycoavidus sp. HKI",1
"Massilia sp. WG5",1
"Pseudoduganella sp. SL102",1
"Janthinobacterium agaricidamnosum",2
"Oxalobacteraceae bacterium OTU3CINTB1",1
"Oxalobacter formigenes",1
"Limnohabitans sp. TEGF004",1
"Acidovorax sp. YS12",1
"Paracidovorax avenae",1
"Variovorax sp. PBL-H6",1
"Simplicispira suum",1
"Achromobacter sp. B7",1
"Alcaligenaceae bacterium SJ-26",1
"Chromobacterium rhizoryzae",1
"Silvimonas soli",1
"Nitrosomonas sp. Is79A3",1
"Porphyromonas gingivalis",2
"Porphyromonas somerae",1
"Porphyromonas endodontalis",1
"Candidatus Azobacteroides pseudotrichonymphae",1
"uncultured Draconibacterium sp.",2
"Prolixibacteraceae bacterium",1
"Flavobacterium sp. Sr18",3
"Christiangramia forsetii",1
"Kaistella carnis",1
"Chryseobacterium sp. KACC 21268",1
"Candidatus Karelsulcia muelleri",1
"Pedobacter sp. D749",1
"Pedobacter cryoconitis",1
"Sphingobacterium oryzagri",1
"Mucilaginibacter ginsenosidivorax",1
"Hymenobacter sp. 5317J-9",1
"Chryseolinea soli",1
"uncultured Chitinophagaceae bacterium",1
"Campylobacter coli",1
"Campylobacter rectus",1
"Campylobacter fetus",1
"Helicobacter apodemus",1
"Helicobacter pylori",1
"uncultured Aliarcobacter sp.",2
"Sulfurospirillum diekertiae",1
"Nitrosophilus alvini",1
"Aquisphaera giovannonii",2
"Tuwongella immobilis",1
"Planctomycetaceae bacterium",1
"Planctomycetia bacterium",1
"uncultured Phycisphaerales bacterium",1
"Phycisphaerales bacterium",1
"Planctomycetota bacterium",1
"Parachlamydiales bacterium",1
"Desulfovibrio desulfuricans",1
"Desulfovibrionaceae bacterium",1
"Megalodesulfovibrio gigas",1
"Pelobacter propionicus",1
"Geopsychrobacteraceae bacterium",1
"Desulfobacterales bacterium",1
"uncultured Acidobacteriaceae bacterium",1
"Candidatus Acidiferrales bacterium",1
"Vicinamibacterales bacterium",1
"Borrelia turcica",1
"Pendulispora brunnea",1
"uncultured bacterium",55
"uncultured Poribacteria bacterium",1
"Candidatus Poribacteria bacterium",1
"uncultured Methylomirabilota bacterium",1
"Candidatus Coatesbacteria bacterium",1
"Pseudothermotoga thermarum",1
"Allomeiothermus silvanus",1
"bacterium",1
"Saccharomyces cerevisiae",11619
"Saccharomyces paradoxus",45
"Saccharomyces kudriavzevii",9
"Saccharomyces mikatae",8
"Saccharomyces bayanus",4
"Saccharomyces pastorianus",6
"Saccharomyces eubayanus",1
"Saccharomyces douglasii",1
"Torulaspora delbrueckii",3
"Monosporozyma servazzii",2
"Lachancea kluyveri",1
"Kluyveromyces marxianus",1
"Kazachstania africana",1
"Wickerhamomyces anomalus",1
"Candida jiufengensis",1
"Candida tropicalis",1
"Yamadazyma tenuis",1
"Scheffersomyces xylosifermentans",1
"Nakazawaea ernobii",3
"Pichia membranifaciens",1
"Lipomyces chichibuensis",1
"Apiospora arundinis",3
"Xylaria bambusicola",1
"Fusarium venenatum",1
"Trichoderma aggressivum",1
"Colletotrichum aenigma",1
"Neurospora crassa",1
"Penicillium griseofulvum",1
"Penicillium nucicola",1
"Penicillium hordei",1
"Aspergillus steynii",2
"Paecilomyces variotii",1
"Talaromyces marneffei",1
"Coccidioides posadasii",1
"Alternaria alternata",1
"Alternaria rosae",1
"Plenodomus lingam",1
"Trematosphaeria pertusa",1
"Lasiodiplodia theobromae",1
"Phyllosticta capitalensis",1
"Schizosaccharomyces japonicus",1
"Cryptococcus neoformans",5371
"Cryptococcus neoformans AD hybrid",12
"Cryptococcus gattii",10
"Cryptococcus deuterogattii",2
"Cryptococcus decagattii",1
"Cryptococcus tetragattii",1
"Cryptococcus bacillisporus",1
"Cryptococcus sp. (in: basidiomycete fungi)",12
"Cryptococcus depauperatus",1
"Heterobasidion irregulare",1
"Suillus bovinus",1
"Kalmanozyma brasiliensis",1
"Pseudozyma flocculosa",1
"Malassezia cuniculi",1
"Meira miltonrushii",1
"uncultured fungus",10
"Gigaspora margarita",1
"Mucor velutinosus",1
"Homo sapiens",23
"Pongo abelii",1
"Macaca mulatta",1
"Callithrix jacchus",2
"Propithecus coquereli",1
"Mus musculus",4
"Arvicanthis niloticus",1
"Peromyscus maniculatus",2
"Onychomys torridus",1
"Phodopus roborovskii",1
"Nannospalax galili",1
"Marmota monax",1
"Oryctolagus cuniculus",3
"Lontra canadensis",1
"Lutra lutra",1
"Mustela putorius",1
"Meles meles",1
"Canis lupus",2
"Vulpes vulpes",1
"Phoca vitulina",2
"Ursus arctos",1
"Leopardus geoffroyi",1
"Felis catus",1
"Panthera uncia",1
"Acinonyx jubatus",1
"Equus caballus",6
"Hippopotamus amphibius",2
"Ovis canadensis",1
"Vicugna pacos",1
"Saccopteryx bilineata",2
"Myotis daubentonii",1
"Dasypus novemcinctus",1
"Notamacropus eugenii",1
"Tachyglossus aculeatus",1
"Melopsittacus undulatus",1
"Prinia subflava",1
"Aquila chrysaetos",1
"Colius striatus",1
"Egretta garzetta",1
"Phalacrocorax carbo",1
"Pterocles gutturalis",1
"Meleagris gallopavo",4
"Cygnus atratus",1
"Anser cygnoides",1
"Apteryx mantelli",5
"Struthio camelus",1
"Terrapene triunguis",8
"Mauremys mutica",1
"Anolis maynardi",7
"Anolis carolinensis",3
"Varanus komodoensis",1
"Hemicordylus capensis",1
"Sphaerodactylus townsendi",1
"Eleutherodactylus coqui",1
"Ranitomeya imitator",1
"Rana temporaria",1
"Pelobates fuscus",1
"Microcaecilia unicolor",1
"Geotrypetes seraphini",1
"Simochromis diagramma",3
"Oryzias latipes",2
"Girardinichthys multiradiatus",1
"Parambassis ranga",1
"Pungitius pungitius",3
"Gasterosteus aculeatus",1
"Pseudoliparis swirei",1
"Scatophagus argus",1
"Nerophis lumbriciformis",3
"Dunckerocampus dactyliophorus",1
"Channa argus",1
"Gadus macrocephalus",1
"Melanogrammus aeglefinus",1
"Oncorhynchus nerka",1
"Hypomesus transpacificus",1
"Danio rerio",2
"Sinocyclocheilus rhinocerous",1
"Myxocyprinus asiaticus",1
"Triplophysa rosa",1
"Neoarius graeffei",2
"Electrophorus electricus",1
"Paramormyrops kingsleyae",1
"Pristis pectinata",1
"Branchiostoma belcheri",1
"Branchiostoma lanceolatum",1
"Branchiostoma floridae",1
"Saccoglossus kowalevskii",1
"Bombus pyrosoma",2
"Apis mellifera",2
"Habropoda laboriosa",1
"Megachile rotundata",2
"Cyphomyrmex costatus",2
"Dinoponera quadriceps",1
"Polistes dominula",1
"Microplitis demolitor",1
"Diachasma alloeum",1
"Drosophila subpulchrella",1
"Drosophila suzukii",1
"Drosophila kikkawai",1
"Drosophila virilis",1
"Drosophila navojoa",1
"Teleopsis dalmanni",1
